,fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,bioguide_id,ballotpedia_id,govtrack_id,party_simple,key,ballotpedia,twitter_name,twitter_id,twitter_status_tweet,twitter_status_name,twitter_status_id
626,H2SC06142,"BUCKNER, DUKE",SC,6,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,duke  buckner,https://ballotpedia.org/Duke_Buckner,,,,,
627,H0IN08114,"BUCSHON, LARRY D.",IN,8,REPUBLICAN PARTY,House,Incumbent,C,B001275,Larry Bucshon,412427.0,Republican,larry  bucshon,https://ballotpedia.org/Larry_Bucshon,replarrybucshon,234812598,,,
628,H0IN08114,"BUCSHON, LARRY D.",IN,8,REPUBLICAN PARTY,House,Incumbent,C,B001275,Larry Bucshon,412427.0,Republican,larry  bucshon,https://ballotpedia.org/Larry_Bucshon,drlarrybucshon,80956768,,,
629,H2FL23138,"BUDD, JOE",FL,23,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,joe  budd,https://ballotpedia.org/Joe_Budd,votejoebudd,1187106458808324102,,,
632,H6NC13129,"BUDD, THEODORE P.",NC,13,REPUBLICAN PARTY,House,Incumbent,P,B001305,Ted Budd,412712.0,Republican,theodore  budd,,sentedbuddnc,817138492614524928,,,
633,H2IL13153,"BUDZINSKI, NIKKI",IL,13,DEMOCRATIC PARTY,House,Incumbent,C,B001315,,456901.0,Democrat,nikki  budzinski,https://ballotpedia.org/Nikki_Budzinski,nikki4congress,,No tweets found.,Name not found.,
634,H2IL13153,"BUDZINSKI, NIKKI",IL,13,DEMOCRATIC PARTY,House,Incumbent,C,B001315,,456901.0,Democrat,nikki  budzinski,https://ballotpedia.org/Nikki_Budzinski,repnikkib,1603476713995911168,,,
635,H2CO03302,"BUERGER, COLIN",CO,3,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,colin  buerger,,,,,,
636,H2TX06392,"BUFORD, JAMES R.",TX,6,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,james  buford,https://ballotpedia.org/James_Buford,jamesbu74790136,1434193728655306762,,,
638,H2OR06116,"BUNN, JAMES (JIM)",OR,6,REPUBLICAN PARTY,House,Open seat,C,,,,Republican,james  bunn,https://ballotpedia.org/Jim_Bunn,,,,,
640,H2FL21082,"BUONGIORNO, JEFFREY D",FL,21,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,jeffrey  buongiorno,https://ballotpedia.org/Jeffrey_Buongiorno,jeffbuongiorno,1364579050040229892,,,
642,H2IL06082,"BURAU, JUSTIN",IL,3,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,justin  burau,https://ballotpedia.org/Justin_Burau,justinburau,348601984,,,
643,H8TN02119,"BURCHETT, TIM",TN,2,REPUBLICAN PARTY,House,Incumbent,C,B001309,Tim Burchett,412817.0,Republican,tim  burchett,https://ballotpedia.org/Tim_Burchett,reptimburchett,1028854804087492613,,,
644,H8TN02119,"BURCHETT, TIM",TN,2,REPUBLICAN PARTY,House,Incumbent,C,B001309,Tim Burchett,412817.0,Republican,tim  burchett,https://ballotpedia.org/Tim_Burchett,timburchett,353890966,,,
646,H2NJ04199,"BURG, DAVID LOREN",NJ,4,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,david  burg,,,,,,
647,H2TX26093,"BURGESS, MICHAEL C. DR.",TX,26,REPUBLICAN PARTY,House,Incumbent,C,B001248,,400052.0,Republican,michael  burgess,https://ballotpedia.org/Michael_Burgess,michaelcburgess,15751083,,,
648,H2TX26093,"BURGESS, MICHAEL C. DR.",TX,26,REPUBLICAN PARTY,House,Incumbent,C,B001248,,400052.0,Republican,michael  burgess,https://ballotpedia.org/Michael_Burgess,drburgesstx,1272912622942388229,,,
651,H2MA08090,"BURKE, ROBERT G.",MA,8,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,robert  burke,https://ballotpedia.org/Robert_Burke_(Massachusetts),burkcoeyes,1492838294006247428,,,
652,H0WA08145,"BURKETT, RYAN DEAN",WA,8,NONE,House,Challenger,N,,,,Other,ryan  burkett,https://ballotpedia.org/Ryan_Dean_Burkett,,,,,
653,H2MO04140,"BURKS, TAYLOR",MO,4,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,taylor  burks,https://ballotpedia.org/Taylor_Burks,taylorwburks,1205149192194162688,,,
655,H2OK03123,"BURLESON, WILLIAM WADE",OK,3,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,william  burleson,,,,,,
657,H0CA48172,"BURLEY, BRIAN J MR.",CA,47,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,brian  burley,https://ballotpedia.org/Brian_Burley,burley4congress,,No tweets found.,Name not found.,
658,H2MO07143,"BURLISON, ERIC",MO,7,REPUBLICAN PARTY,House,Incumbent,N,B001316,Eric Burlison,456910.0,Republican,eric  burlison,https://ballotpedia.org/Eric_Burlison,ericburlison,17993908,,,
659,H2MO07143,"BURLISON, ERIC",MO,7,REPUBLICAN PARTY,House,Incumbent,N,B001316,Eric Burlison,456910.0,Republican,eric  burlison,https://ballotpedia.org/Eric_Burlison,repericburlison,1606342594765590528,,,
660,H2CO03278,"BURNETT, DEBORA LYNN",CO,3,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,debora  burnett,,,,,,
661,H2MA04115,"BURNS, EMILY",MA,4,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,emily  burns,,,,,,
662,H2NY23160,"BURNS, GEORGE H MR",NY,23,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,george  burns,,,,,,
664,H2SC04147,"BURNS, MARK",SC,4,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,mark  burns,https://ballotpedia.org/Mark_Burns_(South_Carolina),pastormarkburns,39334221,,,
665,H2NH00025,"BURNS, ROBERT ANDREW MR.",NH,2,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,robert  burns,https://ballotpedia.org/Bob_Burns_(New_Hampshire),burnsfornh,30063514,,,
667,H2MN14010,"BURR, MARK MR",MN,14,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,,,,Other,mark  burr,,,,,,
669,H0NC11217,"BURRIL, MATTHEW",NC,11,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,matthew  burril,https://ballotpedia.org/Matthew_Burril,burril4congress,1209481978849955841,,,
670,H2TX08265,"BURROWS, CANDICE CUNNINGHAM MS",TX,8,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,candice  burrows,https://ballotpedia.org/Candice_C._Burrows,,,,,
671,H2PA00034,"BURTON, DANIEL LEROY JR",PA,0,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,daniel  burton,,,,,,
672,H2TX37058,"BURTON, HASANI",TX,37,DEMOCRATIC PARTY,House,Open seat,N,,,,Democrat,hasani  burton,,,,,,
673,H8MO01143,"BUSH, CORI",MO,1,DEMOCRATIC PARTY,House,Incumbent,C,B001224,Cori Bush,456829.0,Democrat,cori  bush,https://ballotpedia.org/Cori_Bush,repcori,1002630999052865536,,,
674,H8MO01143,"BUSH, CORI",MO,1,DEMOCRATIC PARTY,House,Incumbent,C,B001224,Cori Bush,456829.0,Democrat,cori  bush,https://ballotpedia.org/Cori_Bush,coribush,4696552878,,,
675,H2SC07264,"BUSHAY, LOUIS",SC,7,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,louis  bushay,,,,,,
676,H2IL17071,"BUSTOS, CHERI",IL,17,DEMOCRATIC PARTY,House,Incumbent,P,B001286,Cheri Bustos,412537.0,Democrat,cheri  bustos,,repcheri,1092979962,,,
678,H2IL01232,"BUTLER, CHRISTOPHER",IL,1,DEMOCRATIC PARTY,House,Open seat,P,,,,Democrat,christopher  butler,,,,,,
680,H2GA08095,"BUTLER, DARRIUS MAURICE",GA,8,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,darrius  butler,https://ballotpedia.org/Darrius_Butler,revdbutler,912322366235119616,,,
681,H2OK03156,"BUTLER, STEPHEN",OK,3,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,stephen  butler,https://ballotpedia.org/Stephen_Butler,,,,,
682,H8CA12262,"BUTTAR, SHAHID",CA,11,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,shahid  buttar,https://ballotpedia.org/Shahid_Buttar,sheeyahshee,245878149,,,
683,H8CA12262,"BUTTAR, SHAHID",CA,11,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,shahid  buttar,https://ballotpedia.org/Shahid_Buttar,shahidforchange,965004924370079744,,,
685,H4NC01046,"BUTTERFIELD, GEORGE KENNETH",NC,1,DEMOCRATIC PARTY,House,Incumbent,P,B001251,G.K. Butterfield,400616.0,Democrat,george  butterfield,,,,,,
686,H2AK01216,"BYE, CHRIS",AK,0,LIBERTARIAN PARTY,House,Open seat,C,,,,Other,chris  bye,https://ballotpedia.org/Chris_Bye,,,,,
687,H2NY04178,"BYNOE, SIELA",NY,4,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,siela  bynoe,,,,,,
689,H2WA03233,"BYRD, CHRIS",WA,3,OTHER,House,Challenger,N,,,,Other,chris  byrd,https://ballotpedia.org/Chris_Byrd_(Washington),chrisbyrd222,1526765413144547328,,,
690,H2MD05528,"BYRD, COLIN",MD,5,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,colin  byrd,,,,,,
691,H2WA09164,"BYRD, SCOTT GARRISON",WA,9,INDEPENDENT,House,Challenger,N,,,,Other,scott  byrd,,,,,,
692,H2KS02168,"CABRAL, JUSTIN",KS,2,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,justin  cabral,,,,,,
693,H2TX28107,"CABRERA, ED",TX,28,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,ed  cabrera,https://ballotpedia.org/Ed_Cabrera,edcabrera4sotx,1483133699327553538,,,
695,H2FL22189,"CALABRESE, CURTIS",FL,22,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,curtis  calabrese,,,,,,
696,H2NE03064,"CALHOUN, MIKE",NE,3,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,mike  calhoun,https://ballotpedia.org/Mike_Calhoun,,,,,
697,H2IN03236,"CALKINS, AARON (A.J.)",IN,3,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,aaron  calkins,https://ballotpedia.org/Aaron_Calkins,,,,,
699,H0WA02189,"CALL, JASON",WA,2,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,jason  call,https://ballotpedia.org/Jason_Call_(Washington),callforcongress,883159967162707969,,,
700,H2AK00275,"CALLAHAN, JOHN T.",AK,0,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,john  callahan,https://ballotpedia.org/John_Callahan_(Alaska),,,,,
701,H2AZ05199,"CALLAN, MARTIN",AZ,5,WRITE-IN,House,Challenger,N,,,,Other,martin  callan,,,,,,
702,H6NH01263,"CALLIS, MICHAEL",NH,2,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,michael  callis,https://ballotpedia.org/Michael_Callis,,,,,
703,H2CA37023,"CALVERT, KEN",CA,41,REPUBLICAN PARTY,House,Incumbent,C,C000059,Ken Calvert,400057.0,Republican,ken  calvert,https://ballotpedia.org/Ken_Calvert,teamcalvert,138553197,,,
704,H2CA37023,"CALVERT, KEN",CA,41,REPUBLICAN PARTY,House,Incumbent,C,C000059,Ken Calvert,400057.0,Republican,ken  calvert,https://ballotpedia.org/Ken_Calvert,kencalvert,22545491,,,
705,H0FL03175,"CAMMACK, KAT",FL,3,REPUBLICAN PARTY,House,Incumbent,C,C001039,,456806.0,Republican,kat  cammack,https://ballotpedia.org/Kat_Cammack,repkatcammack,1344325638983987201,,,
706,H0FL03175,"CAMMACK, KAT",FL,3,REPUBLICAN PARTY,House,Incumbent,C,C001039,,456806.0,Republican,kat  cammack,https://ballotpedia.org/Kat_Cammack,kat_cammack,1214912699311837184,,,
707,H0FL03175,"CAMMACK, KAT",FL,3,REPUBLICAN PARTY,House,Incumbent,C,C001039,,456806.0,Republican,kat  cammack,https://ballotpedia.org/Kat_Cammack,katcammack,,No tweets found.,Name not found.,
710,H2TN05438,"CAMPBELL, HEIDI",TN,5,DEMOCRATIC PARTY,House,Open seat,P,,,,Democrat,heidi  campbell,https://ballotpedia.org/Heidi_Campbell,campbell4tn,1229957759053029381,,,
711,H2MO04231,"CAMPBELL, JIM SOUPY",MO,4,REPUBLICAN PARTY,House,Open seat,C,,,,Republican,jim  campbell,https://ballotpedia.org/Jim_Campbell,,,,,
712,H2FL14293,"CAMPBELL, LANDON NEIL",FL,14,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,landon  campbell,,,,,,
713,H0MA07054,"CAMPBELL, RAYLA",MA,7,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,rayla  campbell,,,,,,
714,H2UT01276,"CAMPBELL, WILLIAM",UT,1,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,william  campbell,https://ballotpedia.org/William_Campbell_(Utah),,,,,
715,H2TX15187,"CANADY, SARA LARUE NEWNAM",TX,15,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,sara  canady,https://ballotpedia.org/Sara_Canady,canady4congress,1466795823468003331,,,
717,H2CA14170,"CANEPA, DAVID",CA,15,DEMOCRATIC PARTY,House,Open seat,P,,,,Democrat,david  canepa,https://ballotpedia.org/David_Canepa,davidcanepa,813998038314164228,,,
719,H2MA04123,"CANNATA, DAVID B",MA,4,WRITE-IN,House,Challenger,N,,,,Other,david  cannata,,,,,,
720,H2OR04160,"CANNING, DOYLE",OR,4,DEMOCRATIC PARTY,House,Open seat,P,,,,Democrat,doyle  canning,https://ballotpedia.org/Doyle_Canning,doylecanning,17169866,,,
721,H2OR04160,"CANNING, DOYLE",OR,4,DEMOCRATIC PARTY,House,Open seat,P,,,,Democrat,doyle  canning,https://ballotpedia.org/Doyle_Canning,canning4oregon,1147223967020642304,,,
723,H4NJ12164,"CANNON, ALLEN J",NJ,1,OTHER,House,Challenger,N,,,,Other,allen  cannon,https://ballotpedia.org/Allen_Cannon,,,,,
724,H2GA11222,"CANNON, BEAU ALEXANDER RYAN MR",GA,11,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,beau  cannon,,,,,,
725,H0UT01114,"CANNON, TINA",UT,1,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,tina  cannon,https://ballotpedia.org/Tina_Cannon_(Utah),,,,,
726,H0MI04140,"CANNY, DAVID",MI,8,LIBERTARIAN PARTY,House,Challenger,N,,,,Other,david  canny,https://ballotpedia.org/David_Canny,,,,,
727,H6NC09184,"CANO, FERNANDO CHRISTIAN MR. JR",NC,9,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,fernando  cano,,,,,,
728,H2FL21199,"CANTON, STEPHEN G",FL,21,INDEPENDENT,House,Challenger,N,,,,Other,stephen  canton,,,,,,
729,H2TX34212,"CANTU CABRERA, JUANA",TX,34,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,juana  cabrera,https://ballotpedia.org/Juana_Cantu-Cabrera,,,,,
730,H2VA10240,"CAO, HUNG",VA,10,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,hung  cao,https://ballotpedia.org/Hung_Cao,hungcaocongress,,No tweets found.,Name not found.,
732,H2CA51206,"CAPLAN, STAN",CA,51,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,stan  caplan,https://ballotpedia.org/Stan_Caplan,,,,,
734,H2CA35142,"CARACAMO, RAFAEL DR.",CA,35,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,rafael  caracamo,https://ballotpedia.org/Rafael_Carcamo,drrafael17,1358932247123021828,,,
735,H2CO08020,"CARAVEO, YADIRA",CO,8,DEMOCRATIC PARTY,House,Incumbent,C,C001134,Yadira Caraveo,456887.0,Democrat,yadira  caraveo,https://ballotpedia.org/Yadira_Caraveo,yadiracaraveo,4750779374,,,
736,H2CO08020,"CARAVEO, YADIRA",CO,8,DEMOCRATIC PARTY,House,Incumbent,C,C001134,Yadira Caraveo,456887.0,Democrat,yadira  caraveo,https://ballotpedia.org/Yadira_Caraveo,repcaraveomd,1610302050474102784,,,
738,H2TX30079,"CARAWAY, BARBARA LEN MALLORY",TX,30,DEMOCRATIC PARTY,House,Open seat,P,,,,Democrat,barbara  caraway,https://ballotpedia.org/Barbara_Mallory_Caraway,bmallorycaraway,397642452,,,
739,H6CA24303,"CARBAJAL, SALUD O.",CA,24,DEMOCRATIC PARTY,House,Incumbent,C,C001112,Salud Carbajal,412686.0,Democrat,salud  carbajal,https://ballotpedia.org/Salud_Carbajal,carbajalsalud,3237898542,,,
740,H6CA24303,"CARBAJAL, SALUD O.",CA,24,DEMOCRATIC PARTY,House,Incumbent,C,C001112,Salud Carbajal,412686.0,Democrat,salud  carbajal,https://ballotpedia.org/Salud_Carbajal,repcarbajal,816157667882373120,,,
741,H0MI12150,"CARBONARO, ANTHONY M",MI,12,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,anthony  carbonaro,,,,,,
742,H2MI13394,"CARBONARO, ANTHONY MICHAEL",MI,13,WRITE-IN,House,Challenger,N,,,,Other,anthony  carbonaro,,,,,,
743,H2CA28113,"CARDENAS, TONY",CA,29,DEMOCRATIC PARTY,House,Incumbent,C,C001097,Tony Cardenas,412517.0,Democrat,tony  cardenas,,repcardenas,1222257180,,,
745,H2CA28113,"CARDENAS, TONY",CA,29,DEMOCRATIC PARTY,House,Incumbent,C,C001097,Tony Cardenas,412517.0,Democrat,tony  cardenas,,tonycardenassfv,155049169,,,
746,H2CA28113,"CARDENAS, TONY",CA,29,DEMOCRATIC PARTY,House,Incumbent,C,C001097,Tony Cardenas,412517.0,Democrat,tony  cardenas,,tcardenas,2543742324,,,
747,H2NC11189,"CAREY, JAN",NC,11,DEMOCRATIC PARTY,House,Open seat,C,,,,Democrat,jan  carey,https://ballotpedia.org/Jay_Carey,,,,,
748,H2OH15228,"CAREY, MIKE",OH,15,REPUBLICAN PARTY,House,Incumbent,C,C001126,,456864.0,Republican,mike  carey,https://ballotpedia.org/Mike_Carey_(Ohio),mikecareyoh15,1393186215466254336,,,
749,H2OH15228,"CAREY, MIKE",OH,15,REPUBLICAN PARTY,House,Incumbent,C,C001126,,456864.0,Republican,mike  carey,https://ballotpedia.org/Mike_Carey_(Ohio),repmikecarey,1457745193197780993,,,
751,H0CA35146,"CARGILE, MIKE",CA,35,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,mike  cargile,https://ballotpedia.org/Mike_Cargile,cargileforca35,1482630957085593604,,,
753,H0MS04161,"CARL, BOYANTON",MS,4,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,boyanton  carl,,,,,,
754,H0AL01055,"CARL, JERRY LEE, JR",AL,1,REPUBLICAN PARTY,House,Incumbent,C,C001054,,456799.0,Republican,jerry  lee,https://ballotpedia.org/Jerry_Carl,repjerrycarl,1341091420439015424,,,
755,H0AL01055,"CARL, JERRY LEE, JR",AL,1,REPUBLICAN PARTY,House,Incumbent,C,C001054,,456799.0,Republican,jerry  lee,https://ballotpedia.org/Jerry_Carl,carlforalabama,2237925464,,,
756,H2AK00390,"CARLE, ARLENE",AK,0,NONPARTISAN,House,Open seat,N,,,,Other,arlene  carle,https://ballotpedia.org/Arlene_Carle,,,,,
757,H2IL01323,"CARLSON, ERIC JOSEPH MR.",IL,1,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,eric  carlson,https://ballotpedia.org/Eric_Carlson,ericcarlsonil01,1482892295703871491,,,
759,H2MN01264,"CARNAHAN, JENNIFER",MN,1,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,jennifer  carnahan,https://ballotpedia.org/Jennifer_Carnahan,,,,,
760,H2FL12081,"CARNEVALE, MICHAEL",FL,12,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,michael  carnevale,,,,,,
761,H8MN05270,"CARNEY, BOB ""AGAIN"" JR.",MN,1,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,bob  carney,,,,,,
762,H2CA28196,"CARONNA, DOROTHY",CA,28,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,dorothy  caronna,https://ballotpedia.org/Dorothy_Caronna,,,,,
763,H2VA10174,"CARPIO, MONICA",VA,8,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,monica  carpio,https://ballotpedia.org/Monica_Carpio,moncarpiova,1033191849509494784,,,
765,H2VA10174,"CARPIO, MONICA",VA,8,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,monica  carpio,https://ballotpedia.org/Monica_Carpio,mon_carpio,2693463043,,,
766,H2MI06117,"CARRA, STEPHEN",MI,4,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,stephen  carra,,,,,,
767,H2CA29087,"CARRANZA, MARGARITA MARIA MMC MMC",CA,29,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,margarita  carranza,https://ballotpedia.org/Margarita_Maria_Carranza,,,,,
768,H2IL11207,"CARROLL, MARK JOSEPH",IL,11,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,mark  carroll,https://ballotpedia.org/Mark_Carroll,carrollforil11,1497780416723439619,,,
769,H2IL11199,"CARROLL, MARK JOSEPH",IL,11,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,mark  carroll,https://ballotpedia.org/Mark_Carroll,carrollforil11,1497780416723439619,,,
773,H8IN07184,"CARSON, ANDRE",IN,7,DEMOCRATIC PARTY,House,Incumbent,N,C001072,Andre Carson,412258.0,Democrat,andre  carson,,andre4congress,267316393,,,
774,H8IN07184,"CARSON, ANDRE",IN,7,DEMOCRATIC PARTY,House,Incumbent,N,C001072,Andre Carson,412258.0,Democrat,andre  carson,,repandrecarson,199325935,,,
775,H2MS02179,"CARSON, MICHAEL",MS,2,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,michael  carson,https://ballotpedia.org/Michael_Carson_(Mississippi_congressional_candidate),,,,,
776,H2TX08216,"CARSON, PAULETTE",TX,17,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,paulette  carson,https://ballotpedia.org/Paulette_Carson,carson4tx,1400677348584919040,,,
779,H4GA01039,"CARTER, EARL LEROY",GA,1,REPUBLICAN PARTY,House,Incumbent,C,C001103,"Earl ""Buddy"" Carter",412622.0,Republican,earl  carter,,carter4congress,1406691746,,,
780,H4GA01039,"CARTER, EARL LEROY",GA,1,REPUBLICAN PARTY,House,Incumbent,C,C001103,"Earl ""Buddy"" Carter",412622.0,Republican,earl  carter,,buddy_carter,295712099,,,
781,H4GA01039,"CARTER, EARL LEROY",GA,1,REPUBLICAN PARTY,House,Incumbent,C,C001103,"Earl ""Buddy"" Carter",412622.0,Republican,earl  carter,,repbuddycarter,2973870195,,,
782,H2TX31044,"CARTER, JOHN R REP.",TX,31,REPUBLICAN PARTY,House,Incumbent,C,C001051,John Carter,400068.0,Republican,john  carter,https://ballotpedia.org/John_Carter_(Texas),repjohncarter,81139286,,,
783,H2TX31044,"CARTER, JOHN R REP.",TX,31,REPUBLICAN PARTY,House,Incumbent,C,C001051,John Carter,400068.0,Republican,john  carter,https://ballotpedia.org/John_Carter_(Texas),judgejohncarter,404355121,,,
784,H2TX31044,"CARTER, JOHN R REP.",TX,31,REPUBLICAN PARTY,House,Incumbent,C,C001051,John Carter,400068.0,Republican,john  carter,https://ballotpedia.org/John_Carter_(Texas),judgecarter,18030431,,,
785,H2LA02149,"CARTER, TROY A. SR.",LA,2,DEMOCRATIC PARTY,House,Challenger,C,C001125,Troy Carter,456860.0,Democrat,troy  carter,https://ballotpedia.org/Troy_Carter,troyc4congress,18582998,,,
786,H2LA02149,"CARTER, TROY A. SR.",LA,2,DEMOCRATIC PARTY,House,Challenger,C,C001125,Troy Carter,456860.0,Democrat,troy  carter,https://ballotpedia.org/Troy_Carter,reptroycarter,1352760304271241218,,,
788,H2PA17079,"CARTWRIGHT, MATTHEW A.",PA,8,DEMOCRATIC PARTY,House,Incumbent,C,C001090,Matt Cartwright,412571.0,Democrat,matthew  cartwright,https://ballotpedia.org/Matt_Cartwright,repcartwright,776664410,,,
789,H2PA17079,"CARTWRIGHT, MATTHEW A.",PA,8,DEMOCRATIC PARTY,House,Incumbent,C,C001090,Matt Cartwright,412571.0,Democrat,matthew  cartwright,https://ballotpedia.org/Matt_Cartwright,cartwrightpa,472315803,,,
790,H2AR02087,"CARTWRIGHT, NICHOLAS",AR,2,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,nicholas  cartwright,,,,,,
791,H2ME02212,"CARUSO, ELIZABETH",ME,2,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,elizabeth  caruso,https://ballotpedia.org/Elizabeth_Caruso,lizformaine,1435710498301939716,,,
793,H2NY16073,"CASANOVA DOMINGUEZ, MANUEL IGNACIO",NY,16,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,manuel  dominguez,,,,,,
794,H2TX35144,"CASAR, GREG",TX,35,DEMOCRATIC PARTY,House,Incumbent,C,C001131,,456945.0,Democrat,greg  casar,https://ballotpedia.org/Gregorio_Casar,repcasar,1499512178013057032,,,
795,H2TX35144,"CASAR, GREG",TX,35,DEMOCRATIC PARTY,House,Incumbent,C,C001131,,456945.0,Democrat,greg  casar,https://ballotpedia.org/Gregorio_Casar,gregcasar,1683515731,,,
797,H2HI02128,"CASE, EDWARD",HI,1,DEMOCRATIC PARTY,House,Incumbent,C,C001055,Ed Case,400069.0,Democrat,edward  case,https://ballotpedia.org/Ed_Case,repedcase,1081350574589833221,,,
798,H2HI02128,"CASE, EDWARD",HI,1,DEMOCRATIC PARTY,House,Incumbent,C,C001055,Ed Case,400069.0,Democrat,edward  case,https://ballotpedia.org/Ed_Case,edcasehawaii,21737536,,,
800,H6TX14132,"CASEY, KEITH",TX,14,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,keith  casey,https://ballotpedia.org/Keith_Casey,,,,,
801,H2TN03243,"CASEY, SANDY FOR",TN,3,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,sandy  casey,https://ballotpedia.org/Sandy_Casey,,,,,
802,H2NJ11194,"CASHA, LAWRENCE A",NJ,11,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,lawrence  casha,,,,,,
803,H2UT03264,"CASPER, BRANDON 8013368524",UT,3,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,brandon  casper,,,,,,
805,H4AL03053,"CASSON, THOMAS",AL,3,LIBERTARIAN PARTY,House,Challenger,N,,,,Other,thomas  casson,https://ballotpedia.org/Thomas_Casson,thomascassonal,2337338641,,,
806,H2NY21164,"CASTELLI, MATT",NY,21,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,matt  castelli,https://ballotpedia.org/Matt_Castelli,castellimatt,848255386582953985,,,
808,H2NC07161,"CASTELLI, ROBERT CHRISTIAN",NC,6,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,robert  castelli,,,,,,
809,H8IL06139,"CASTEN, SEAN",IL,6,DEMOCRATIC PARTY,House,Incumbent,C,C001117,Sean Casten,412775.0,Democrat,sean  casten,https://ballotpedia.org/Sean_Casten,votecasten,955598085526360064,,,
810,H8IL06139,"CASTEN, SEAN",IL,6,DEMOCRATIC PARTY,House,Incumbent,C,C001117,Sean Casten,412775.0,Democrat,sean  casten,https://ballotpedia.org/Sean_Casten,seancasten,66804351,,,
811,H8IL06139,"CASTEN, SEAN",IL,6,DEMOCRATIC PARTY,House,Incumbent,C,C001117,Sean Casten,412775.0,Democrat,sean  casten,https://ballotpedia.org/Sean_Casten,repcasten,1083472286089396224,,,
813,H0FL09115,"CASTILLO, JOSE",FL,9,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,jose  castillo,https://ballotpedia.org/Jose_Castillo_(Florida),joseforflorida,1146847845326217218,,,
