,fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,party_simple,key,ballotpedia,bioguide_id,twitter_name,twitter_id,twitter_status_tweet,twitter_status_name,twitter_status_id
624,H2NV04110,"BONAVENTURA, CHANCE",NV,4,REPUBLICAN PARTY,House,Challenger,C,Republican,chance  bonaventura,https://ballotpedia.org/Chance_Bonaventura,,swadforcongress,1467570015855591434,,,
625,H2NV04110,"BONAVENTURA, CHANCE",NV,4,REPUBLICAN PARTY,House,Challenger,C,Republican,chance  bonaventura,https://ballotpedia.org/Chance_Bonaventura,,jackbergman_mi1,751799352755052544,,,
626,H2NY01257,"BOND, MICHELLE",NY,1,REPUBLICAN PARTY,House,Open seat,P,Republican,michelle  bond,https://ballotpedia.org/Michelle_Bond,,,,,,
628,H8ME02219,"BOND, TIFFANY",ME,2,INDEPENDENT,House,Challenger,N,Other,tiffany  bond,https://ballotpedia.org/Tiffany_Bond,,electbergmann,93303821,,,
629,H2CT04126,"BOOK, ETHAN",CT,4,REPUBLICAN PARTY,House,Challenger,N,Republican,ethan  book,,,themedicarelady,25119311,,,
631,H2IN04168,"BOOKWALTER, THOMAS CHARLES",IN,4,REPUBLICAN PARTY,House,Challenger,P,Republican,thomas  bookwalter,,,swaffarcongress,1167587134712307719,,,
633,H2FL10309,"BOONE, JEFFREY MR.",FL,10,DEMOCRATIC PARTY,House,Open seat,P,Democrat,jeffrey  boone,https://ballotpedia.org/Jeffrey_Boone,,,,,,
634,H2AZ05207,"BORDEN, DEBRA JO ""D JO""",AZ,5,WRITE-IN,House,Challenger,N,Other,debra  borden,,,swain4us,,No tweets found.,Name not found.,
636,H2TX11103,"BORDERE, SHAUNE PIERRE MS.",TX,11,DEMOCRATIC PARTY,House,Challenger,N,Democrat,shaune  bordere,,,,,,,
637,H2CA22173,"BORGEAS, ANDREAS A",CA,22,REPUBLICAN PARTY,House,Challenger,C,Republican,andreas  borgeas,,,ericswalwell,377609596,,,
639,H2NC04101,"BORGHESE, RENE",NC,4,REPUBLICAN PARTY,House,Open seat,C,Republican,rene  borghese,,,repswalwell,942156122,,,
640,H2NC04101,"BORGHESE, RENE",NC,4,REPUBLICAN PARTY,House,Open seat,C,Republican,rene  borghese,,,pbiii4usa,1479134212766810120,No tweets found.,,
642,H2MI10119,"BORRELL, ERIC JAMES",MI,10,INDEPENDENT,House,Challenger,N,Other,eric  borrell,,,repswalwell,942156122,,,
643,H2NV03203,"BOSSERT, CLARK",NV,3,REPUBLICAN PARTY,House,Challenger,C,Republican,clark  bossert,https://ballotpedia.org/Clark_Bossert,,,,,,
645,H4IL12060,"BOST, MICHAEL",IL,12,REPUBLICAN PARTY,House,Incumbent,N,Republican,michael  bost,https://ballotpedia.org/Mike_Bost,B001295,best4governor,977007285749760000,,,
646,H4IL12060,"BOST, MICHAEL",IL,12,REPUBLICAN PARTY,House,Incumbent,N,Republican,michael  bost,https://ballotpedia.org/Mike_Bost,B001295,swank4america,999123575142465538,,,
647,H4IL12060,"BOST, MICHAEL",IL,12,REPUBLICAN PARTY,House,Incumbent,N,Republican,michael  bost,https://ballotpedia.org/Mike_Bost,B001295,swan4congress,1417216313290895363,,,
648,H2CO01223,"BOSWELL, IRIS RHIANNON AURORA",CO,1,UNKNOWN,House,Challenger,N,Other,iris  boswell,https://ballotpedia.org/Iris_Boswell,,,,,,
649,H2FL20126,"BOSWELL, MATT",FL,20,DEMOCRATIC PARTY,House,Open seat,N,Democrat,matt  boswell,,,repdonbeyer,2962868158,,,
652,H2CT05230,"BOTELHO, MICHELLE L",CT,5,REPUBLICAN PARTY,House,Challenger,P,Republican,michelle  botelho,,,joeswartznc,1450802221138989060,,,
654,H2MI05192,"BOTTS, PAUL LEON",MI,5,INDEPENDENT,House,Challenger,N,Other,paul  botts,,,repdonbeyer,2962868158,,,
656,H2WY00158,"BOUCHARD, ANTHONY",WY,0,REPUBLICAN PARTY,House,Challenger,P,Republican,anthony  bouchard,https://ballotpedia.org/Anthony_Bouchard,,donbeyerva,2319503065,,,
658,H2WI08071,"BOUCHER, PAUL DAVID MR.",WI,8,INDEPENDENCE PARTY,House,Challenger,N,Other,paul  boucher,https://ballotpedia.org/Paul_Boucher,,biaggi4ny,2447662261,,,
659,H8GA07201,"BOURDEAUX, CAROLYN",GA,7,DEMOCRATIC PARTY,House,Incumbent,P,Democrat,carolyn  bourdeaux,https://ballotpedia.org/Carolyn_Bourdeaux,B001312,for_sweeney,,No tweets found.,Name not found.,
661,H2IN03194,"BOWER, FORREST ANTHONY",IN,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,forrest  bower,,,,,,,
663,H2NC13276,"BOWLES, JAMIE CAMPBELL MS.",NC,13,DEMOCRATIC PARTY,House,Open seat,N,Democrat,jamie  bowles,https://ballotpedia.org/Jamie_Campbell_Bowles,,taraforalaska,1510000238316060673,,,
664,H0NY16143,"BOWMAN, JAMAAL",NY,16,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,jamaal  bowman,https://ballotpedia.org/Jamaal_Bowman,B001223,stephaniebice,32289500,,,
666,H0NY16143,"BOWMAN, JAMAAL",NY,16,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,jamaal  bowman,https://ballotpedia.org/Jamaal_Bowman,B001223,repbice,1344260196227555334,,,
667,H0NY16143,"BOWMAN, JAMAAL",NY,16,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,jamaal  bowman,https://ballotpedia.org/Jamaal_Bowman,B001223,emiliasykesoh,1871673438,,,
668,H0NY16143,"BOWMAN, JAMAAL",NY,16,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,jamaal  bowman,https://ballotpedia.org/Jamaal_Bowman,B001223,biascocongress,1545068772779753472,,,
670,H2IL05191,"BOWMAN, RALEIGH",IL,5,DEMOCRATIC PARTY,House,Challenger,P,Democrat,raleigh  bowman,,,emiliasykesoh,1871673438,,,
671,H6WA10015,"BOYCE, RICHARD",WA,10,OTHER,House,Challenger,N,Other,richard  boyce,https://ballotpedia.org/Richard_Boyce,,repemiliasykes,1611527835742519297,,,
672,H6WA10015,"BOYCE, RICHARD",WA,10,OTHER,House,Challenger,N,Other,richard  boyce,https://ballotpedia.org/Richard_Boyce,,andybiggs4az,702601370344402944,,,
673,H2MT02142,"BOYETTE, JAMES MATTHEW",MT,2,REPUBLICAN PARTY,House,Challenger,N,Republican,james  boyette,https://ballotpedia.org/James_Boyette,,repandybiggsaz,816652616625168388,,,
674,H2MT02142,"BOYETTE, JAMES MATTHEW",MT,2,REPUBLICAN PARTY,House,Challenger,N,Republican,james  boyette,https://ballotpedia.org/James_Boyette,,sethsynstelien,1112142347251273728,,,
675,H2NC13169,"BOYKIN, PETER ROBERT",NC,7,REPUBLICAN PARTY,House,Open seat,N,Republican,peter  boykin,,,,,,,
676,H4PA13199,"BOYLE, BRENDAN F",PA,2,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,brendan  boyle,https://ballotpedia.org/Brendan_Boyle,B001296,teresatachon,1428186514492641284,,,
677,H4PA13199,"BOYLE, BRENDAN F",PA,2,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,brendan  boyle,https://ballotpedia.org/Brendan_Boyle,B001296,repgusbilirakis,26051676,,,
678,H4PA13199,"BOYLE, BRENDAN F",PA,2,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,brendan  boyle,https://ballotpedia.org/Brendan_Boyle,B001296,bilirakis,95236960,,,
680,H2FL10200,"BRACY, RANDOLPH",FL,10,DEMOCRATIC PARTY,House,Open seat,P,Democrat,randolph  bracy,https://ballotpedia.org/Randolph_Bracy_III,,,,,,
681,H2FL13253,"BRADDOCK, WILL",FL,13,REPUBLICAN PARTY,House,Open seat,N,Republican,will  braddock,,,chrisforthe6th,1505963993894043648,,,
682,H2FL13253,"BRADDOCK, WILL",FL,13,REPUBLICAN PARTY,House,Open seat,N,Republican,will  braddock,,,annette_taddeo,134975165,,,
683,H2FL14269,"BRADLEY, CHRISTOPHER",FL,14,DEMOCRATIC PARTY,House,Challenger,P,Democrat,christopher  bradley,https://ballotpedia.org/Christopher_Bradley,,,,,,
684,H6TX08100,"BRADY, KEVIN",TX,8,REPUBLICAN PARTY,House,Incumbent,P,Republican,kevin  brady,,B000755,kylietaitano,1287974286620160000,,,
685,H6TX08100,"BRADY, KEVIN",TX,8,REPUBLICAN PARTY,House,Incumbent,P,Republican,kevin  brady,,B000755,chrisbishre,771105905538535424,,,
686,H2MN01207,"BRAKEBILL-HACKE, SARAH MS.",MN,1,DEMOCRATIC-FARMER-LABOR,House,Open seat,P,Other,sarah  brakebillhacke,,,marktakano,316165422,,,
687,H2MN01207,"BRAKEBILL-HACKE, SARAH MS.",MN,1,DEMOCRATIC-FARMER-LABOR,House,Open seat,P,Other,sarah  brakebillhacke,,,bishforcongress,1197342596198105088,,,
688,H2HI02599,"BRANCO, PATRICK PIHANA",HI,2,DEMOCRATIC PARTY,House,Open seat,C,Democrat,patrick  branco,https://ballotpedia.org/Patrick_Branco,,repmarktakano,1037321378,,,
690,H2CA15128,"BRANDT, DAVID MR",CA,15,INDEPENDENT,House,Challenger,N,Other,david  brandt,,,marktakano,316165422,,,
691,H2CA15128,"BRANDT, DAVID MR",CA,15,INDEPENDENT,House,Challenger,N,Other,david  brandt,,,jdanbishop,1912799826,,,
692,H8OK04094,"BRANNON, MARY",OK,4,DEMOCRATIC PARTY,House,Challenger,N,Democrat,mary  brannon,https://ballotpedia.org/Mary_Brannon,,repmarktakano,1037321378,,,
693,H8OK04094,"BRANNON, MARY",OK,4,DEMOCRATIC PARTY,House,Challenger,N,Democrat,mary  brannon,https://ballotpedia.org/Mary_Brannon,,repdanbishop,1176522535531360257,,,
694,H2TX21177,"BRANSCUM, COY GEE II",TX,21,DEMOCRATIC PARTY,House,Challenger,C,Democrat,coy  branscum,https://ballotpedia.org/Coy_Branscum,,,,,,
695,H2TN05412,"BRANTLEY, DERRICK",TN,5,INDEPENDENT,House,Open seat,N,Other,derrick  brantley,https://ballotpedia.org/Derrick_Brantley,,,,,,
696,H2MO04199,"BRATTIN, RICHARD RAY JR.",MO,4,REPUBLICAN PARTY,House,Open seat,C,Republican,richard  brattin,https://ballotpedia.org/Rick_Brattin,,,,,,
697,H2WV01128,"BRAUN, CARLY",WV,2,REPUBLICAN PARTY,House,Challenger,C,Republican,carly  braun,,,bishop4congress,1486542944987496451,,,
699,H2CA28154,"BRAUN, JONATHAN",CA,28,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jonathan  braun,,,sanfordbishop,249410485,,,
701,H2MN03120,"BRAXILL, MARK",MN,3,REPUBLICAN PARTY,House,Challenger,C,Republican,mark  braxill,,,sanfordbishop,249410485,,,
702,H2MN03120,"BRAXILL, MARK",MN,3,REPUBLICAN PARTY,House,Challenger,C,Republican,mark  braxill,,,greglintanaka,1345854599412924416,,,
704,H2TX26218,"BRAZEAL, BRIAN JAMES",TX,26,REPUBLICAN PARTY,House,Challenger,C,Republican,brian  brazeal,https://ballotpedia.org/Brian_Brazeal,,gregtanaka,65190827,,,
706,H2OK02315,"BRECHEEN, JOSH",OK,2,REPUBLICAN PARTY,House,Incumbent,N,Republican,josh  brecheen,https://ballotpedia.org/Josh_Brecheen,B001317,tandon4congress,1189206039335276544,,,
707,H2OK02315,"BRECHEEN, JOSH",OK,2,REPUBLICAN PARTY,House,Incumbent,N,Republican,josh  brecheen,https://ballotpedia.org/Josh_Brecheen,B001317,bivingscongress,1522390257215447040,,,
708,H2AK00564,"BREDAR, JOE",AK,0,WRITE-IN,House,Challenger,N,Other,joe  bredar,https://ballotpedia.org/Joe_Bredar,,,,,,
710,H2AK01075,"BRELSFORD, GREGG BOWYER MR.",AK,0,INDEPENDENT,House,Challenger,C,Other,gregg  brelsford,https://ballotpedia.org/Gregg_Brelsford,,realannieblack,1161769322013835264,,,
711,H2OH11326,"BREWER, ERIC J.",OH,11,REPUBLICAN PARTY,House,Challenger,N,Republican,eric  brewer,https://ballotpedia.org/Eric_Brewer,,eddietarazonafl,1519406689451184129,,,
713,H2NC13151,"BREWSTER, BILLY JOE",NC,4,REPUBLICAN PARTY,House,Open seat,P,Republican,billy  brewster,,,dianne4congress,1506428163794128896,,,
715,H2ME39016,"BREWSTER, JOSHUA MR",ME,39,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,joshua  brewster,,,,,,,
716,H2UT12018,"BRICKLEY, PAUL CARLSON MR",UT,12,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,paul  brickley,,,dannytarkanian,64465025,,,
718,H2TN08192,"BRIDGER, DANNY RAY JR.",TN,8,REPUBLICAN PARTY,House,Challenger,N,Republican,danny  bridger,https://ballotpedia.org/Danny_Bridger_Jr.,,,,,,
719,H8NY22151,"BRINDISI, ANTHONY",NY,22,DEMOCRATIC PARTY,House,Challenger,N,Democrat,anthony  brindisi,,B001308,oblackforwa3,1519722888596582400,,,
720,H8NY22151,"BRINDISI, ANTHONY",NY,22,DEMOCRATIC PARTY,House,Challenger,N,Democrat,anthony  brindisi,,B001308,mark_tashjian,1536396443556118528,,,
721,H8CA47078,"BRISCOE, JOHN",CA,42,REPUBLICAN PARTY,House,Challenger,P,Republican,john  briscoe,https://ballotpedia.org/John_Briscoe,,,,,,
723,H2LA24010,"BRISTOL, ELIJAH MR",LA,24,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,elijah  bristol,,,nicktaurus40,,No tweets found.,Name not found.,
724,H2NY29084,"BRITANY, ARTHUR MR",NY,29,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,arthur  britany,,,,,,,
725,H2CA04148,"BROCK, MATTHEW",CA,4,REPUBLICAN PARTY,House,Challenger,N,Republican,matthew  brock,https://ballotpedia.org/Matt_Brock,,blackmanforaz,2832875891,,,
726,H2CA04148,"BROCK, MATTHEW",CA,4,REPUBLICAN PARTY,House,Challenger,N,Republican,matthew  brock,https://ballotpedia.org/Matt_Brock,,brooke4congress,,No tweets found.,Name not found.,
728,H2NV01298,"BROG, DAVID",NV,1,REPUBLICAN PARTY,House,Challenger,C,Republican,david  brog,https://ballotpedia.org/David_Brog,,doc__brooke,1344682388715143169,,,
729,H2FL02140,"BROOKS, LINDA SUSAN MS.",FL,2,NO PARTY AFFILIATION,House,Challenger,C,Other,linda  brooks,,,,,,,
731,H0AL05163,"BROOKS, MO",AL,5,REPUBLICAN PARTY,House,Incumbent,P,Republican,mo  brooks,,B001274,blalockfor,1392517243745996808,,,
732,H2TN05347,"BROOKS, NATISHA LOUISE",TN,5,REPUBLICAN PARTY,House,Open seat,P,Republican,natisha  brooks,https://ballotpedia.org/Natisha_Brooks,,,,,,
733,H2MS04266,"BROOKS, RAYMOND N",MS,4,REPUBLICAN PARTY,House,Challenger,P,Republican,raymond  brooks,https://ballotpedia.org/Raymond_Brooks,,,,,,
734,H2NJ11137,"BROTSCHOL, HILLERY",NJ,11,REPUBLICAN PARTY,House,Challenger,C,Republican,hillery  brotschol,,,,,,,
736,H6GA09243,"BROUN, PAUL",GA,10,REPUBLICAN PARTY,House,Challenger,P,Republican,paul  broun,https://ballotpedia.org/Paul_Broun,,blasi4congress,,No tweets found.,Name not found.,
737,H2CA02209,"BROWER, DOUGLAS REV",CA,2,REPUBLICAN PARTY,House,Challenger,P,Republican,douglas  brower,https://ballotpedia.org/Douglas_Brower,,vantaylortx,21826591,,,
739,H6MD04209,"BROWN, ANTHONY",MD,4,DEMOCRATIC PARTY,House,Incumbent,P,Democrat,anthony  brown,,B001304,elect_toddbloom,737778795340406784,,,
741,H2FL10358,"BROWN, CORRINE",FL,10,DEMOCRATIC PARTY,House,Open seat,P,Democrat,corrine  brown,https://ballotpedia.org/Corrine_Brown,,repblumenauer,15954997,,,
743,H2FL15225,"BROWN, GAVIN",FL,15,DEMOCRATIC PARTY,House,Challenger,C,Democrat,gavin  brown,https://ballotpedia.org/Gavin_Brown_(Florida),,blumenauermedia,137823987,,,
746,H2MA09239,"BROWN, JESSE",MA,9,REPUBLICAN PARTY,House,Challenger,P,Republican,jesse  brown,https://ballotpedia.org/Jesse_Brown_(Massachusetts),,lisabrochester,4049197462,,,
747,H2OH11169,"BROWN, M SHONTEL",OH,11,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,m  brown,,B001313,repboebert,1342989756611907584,,,
749,H2OH11169,"BROWN, M SHONTEL",OH,11,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,m  brown,,B001313,laurenboebert,1201670995435646976,,,
750,H2TX13117,"BROWN, MARY KATHLEEN",TX,13,DEMOCRATIC PARTY,House,Challenger,P,Democrat,mary  brown,,,teeheejohnny,1504809661958135831,,,
751,H2TX13117,"BROWN, MARY KATHLEEN",TX,13,DEMOCRATIC PARTY,House,Challenger,P,Democrat,mary  brown,,,repboebert,1342989756611907584,,,
752,H2CA16142,"BROWN, NATHAN K",CA,16,REPUBLICAN PARTY,House,Challenger,C,Republican,nathan  brown,,,,,,,
753,H2AK00382,"BROWN, ROBERT",AK,0,NONPARTISAN,House,Open seat,N,Other,robert  brown,https://ballotpedia.org/Robert_Brown_(Alaska),,claudiatenney,756285384,,,
755,H2NC03103,"BROWN, TYRON ANTHONY REV DR",NC,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,tyron  brown,,,bognet4congress,1217891120241311745,,,
756,H2NC03103,"BROWN, TYRON ANTHONY REV DR",NC,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,tyron  brown,,,reptenney,797201048490430465,,,
757,H2CA00120,"BROWNLEY, JULIA",CA,26,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,julia  brownley,https://ballotpedia.org/Julia_Brownley,B001285,for_teague,,No tweets found.,Name not found.,
758,H2CA00120,"BROWNLEY, JULIA",CA,26,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,julia  brownley,https://ballotpedia.org/Julia_Brownley,B001285,replbr,817050219007328258,,,
759,H2CA00120,"BROWNLEY, JULIA",CA,26,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,julia  brownley,https://ballotpedia.org/Julia_Brownley,B001285,lisabrochester,4049197462,,,
761,H2OK05151,"BROYLES, ABBY",OK,5,DEMOCRATIC PARTY,House,Challenger,P,Democrat,abby  broyles,,,jimbognet,21067783,,,
763,H2WY01081,"BRUBAKER, RICHARD",WY,0,OTHER,House,Challenger,P,Other,richard  brubaker,https://ballotpedia.org/Richard_Brubaker,,,,,,
764,H2WY00125,"BRUBAKER, RICHARD P.",WY,0,LIBERTARIAN PARTY,House,Challenger,N,Other,richard  brubaker,https://ballotpedia.org/Richard_Brubaker,,marvinboguslaw,1504511447983927300,,,
765,H2WY00125,"BRUBAKER, RICHARD P.",WY,0,LIBERTARIAN PARTY,House,Challenger,N,Other,richard  brubaker,https://ballotpedia.org/Richard_Brubaker,,joanne4congress,1470431445948715009,,,
766,H2MO04173,"BRUCE, KALENA",MO,4,REPUBLICAN PARTY,House,Open seat,P,Republican,kalena  bruce,https://ballotpedia.org/Kalena_Bruce,,,,,,
767,H2PA01131,"BRUNO, ERIC M",PA,1,DEMOCRATIC PARTY,House,Challenger,N,Democrat,eric  bruno,,,bohannaniowa,1255198692367388672,,,
768,H2PR01014,"BRUNO, ERIC M",PR,0,DEMOCRATIC PARTY,House,Challenger,N,Democrat,eric  bruno,,,,,,,
770,H2MO07184,"BRYANT, ALEX L",MO,7,REPUBLICAN PARTY,House,Open seat,P,Republican,alex  bryant,https://ballotpedia.org/Alex_Bryant,,repbonamici,558769636,,,
772,H2NH02211,"BRYK, WILLIAM MICHAEL",NH,2,DEMOCRATIC PARTY,House,Challenger,N,Democrat,william  bryk,,,shrithanedar,2965326656,,,
773,H2NH02211,"BRYK, WILLIAM MICHAEL",NH,2,DEMOCRATIC PARTY,House,Challenger,N,Democrat,william  bryk,,,repbonamici,558769636,,,
774,H0NC06209,"BUCARDO, JENNYFER",NC,9,REPUBLICAN PARTY,House,Open seat,P,Republican,jennyfer  bucardo,https://ballotpedia.org/Jen_Bucardo,,chancefornv,1478456818208706561,,,
776,H2NY19119,"BUCCOLA, BRANDON",NY,19,REPUBLICAN PARTY,House,Challenger,N,Republican,brandon  buccola,,,shrithanedar,2965326656,,,
778,H2MT02167,"BUCHANAN, GARY",MT,2,INDEPENDENT,House,Challenger,P,Other,gary  buchanan,https://ballotpedia.org/Gary_Buchanan,,michellebondny1,,No tweets found.,Name not found.,
779,H2MT02167,"BUCHANAN, GARY",MT,2,INDEPENDENT,House,Challenger,P,Other,gary  buchanan,https://ballotpedia.org/Gary_Buchanan,,edformaine,1443279497483198469,,,
780,H6FL13148,"BUCHANAN, VERNON",FL,16,REPUBLICAN PARTY,House,Incumbent,C,Republican,vernon  buchanan,https://ballotpedia.org/Vern_Buchanan,B001260,,,,,
781,H2WV02183,"BUCHSER-LOCHOCKI, SUSAN",WV,2,REPUBLICAN PARTY,House,Challenger,P,Republican,susan  buchserlochocki,,,tiffanybond,24193334,,,
783,H4CO04090,"BUCK, KENNETH R",CO,4,REPUBLICAN PARTY,House,Incumbent,N,Republican,kenneth  buck,https://ballotpedia.org/Ken_Buck,,,,,,
785,H2SC06142,"BUCKNER, DUKE",SC,6,REPUBLICAN PARTY,House,Challenger,P,Republican,duke  buckner,https://ballotpedia.org/Duke_Buckner,,dannewsman,18245387,,,
786,H0IN08114,"BUCSHON, LARRY D.",IN,8,REPUBLICAN PARTY,House,Incumbent,C,Republican,larry  bucshon,https://ballotpedia.org/Larry_Bucshon,B001275,congressboone,1471889167751733251,,,
788,H0IN08114,"BUCSHON, LARRY D.",IN,8,REPUBLICAN PARTY,House,Incumbent,C,Republican,larry  bucshon,https://ballotpedia.org/Larry_Bucshon,B001275,robertthomasnc1,1270451505926213635,,,
789,H2FL23138,"BUDD, JOE",FL,23,REPUBLICAN PARTY,House,Challenger,P,Republican,joe  budd,https://ballotpedia.org/Joe_Budd,,,,,,
790,H6NC13129,"BUDD, THEODORE P.",NC,13,REPUBLICAN PARTY,House,Incumbent,P,Republican,theodore  budd,,B001305,,,,,
791,H2IL13153,"BUDZINSKI, NIKKI",IL,13,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,nikki  budzinski,https://ballotpedia.org/Nikki_Budzinski,B001315,clark_bossert,2231652643,,,
792,H2IL13153,"BUDZINSKI, NIKKI",IL,13,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,nikki  budzinski,https://ballotpedia.org/Nikki_Budzinski,B001315,benniegthompson,82453460,,,
793,H2IL13153,"BUDZINSKI, NIKKI",IL,13,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,nikki  budzinski,https://ballotpedia.org/Nikki_Budzinski,B001315,bgthompsonms,1298346252673994752,,,
796,H2CO03302,"BUERGER, COLIN",CO,3,DEMOCRATIC PARTY,House,Challenger,C,Democrat,colin  buerger,,,benniegthompson,82453460,,,
797,H2TX06392,"BUFORD, JAMES R.",TX,6,REPUBLICAN PARTY,House,Challenger,C,Republican,james  buford,https://ballotpedia.org/James_Buford,,repbost,2964877294,,,
798,H2TX06392,"BUFORD, JAMES R.",TX,6,REPUBLICAN PARTY,House,Challenger,C,Republican,james  buford,https://ballotpedia.org/James_Buford,,bgthompsonms,1298346252673994752,,,
799,H2OR06116,"BUNN, JAMES (JIM)",OR,6,REPUBLICAN PARTY,House,Open seat,C,Republican,james  bunn,https://ballotpedia.org/Jim_Bunn,,bostforcongress,2282437802,,,
801,H2FL21082,"BUONGIORNO, JEFFREY D",FL,21,REPUBLICAN PARTY,House,Challenger,P,Republican,jeffrey  buongiorno,https://ballotpedia.org/Jeffrey_Buongiorno,,repbost,2964877294,,,
803,H2IL06082,"BURAU, JUSTIN",IL,3,REPUBLICAN PARTY,House,Challenger,P,Republican,justin  burau,https://ballotpedia.org/Justin_Burau,,,,,,
804,H8TN02119,"BURCHETT, TIM",TN,2,REPUBLICAN PARTY,House,Incumbent,C,Republican,tim  burchett,https://ballotpedia.org/Tim_Burchett,B001309,iris4district1,1558841362165800961,,,
806,H8TN02119,"BURCHETT, TIM",TN,2,REPUBLICAN PARTY,House,Incumbent,C,Republican,tim  burchett,https://ballotpedia.org/Tim_Burchett,B001309,congressmangt,18967498,,,
807,H8TN02119,"BURCHETT, TIM",TN,2,REPUBLICAN PARTY,House,Incumbent,C,Republican,tim  burchett,https://ballotpedia.org/Tim_Burchett,B001309,gt_teamgt,304138251,,,
808,H2NJ04199,"BURG, DAVID LOREN",NJ,4,REPUBLICAN PARTY,House,Challenger,C,Republican,david  burg,,,anthonybouchard,78528831,,,
809,H2NJ04199,"BURG, DAVID LOREN",NJ,4,REPUBLICAN PARTY,House,Challenger,C,Republican,david  burg,,,gt_teamgt,304138251,,,
810,H2TX26093,"BURGESS, MICHAEL C. DR.",TX,26,REPUBLICAN PARTY,House,Incumbent,C,Republican,michael  burgess,https://ballotpedia.org/Michael_Burgess,B001248,carolyn4ga7,881222783170228224,,,
811,H2TX26093,"BURGESS, MICHAEL C. DR.",TX,26,REPUBLICAN PARTY,House,Incumbent,C,Republican,michael  burgess,https://ballotpedia.org/Michael_Burgess,B001248,mike_ca05,3612420317,,,
812,H2TX26093,"BURGESS, MICHAEL C. DR.",TX,26,REPUBLICAN PARTY,House,Incumbent,C,Republican,michael  burgess,https://ballotpedia.org/Michael_Burgess,B001248,repthompson,303861808,,,
813,H2TX26093,"BURGESS, MICHAEL C. DR.",TX,26,REPUBLICAN PARTY,House,Incumbent,C,Republican,michael  burgess,https://ballotpedia.org/Michael_Burgess,B001248,mathompson_jr,961613321911848961,,,
815,H2MA08090,"BURKE, ROBERT G.",MA,8,REPUBLICAN PARTY,House,Challenger,N,Republican,robert  burke,https://ballotpedia.org/Robert_Burke_(Massachusetts),,mike_ca05,3612420317,,,
818,H0WA08145,"BURKETT, RYAN DEAN",WA,8,NONE,House,Challenger,N,Other,ryan  burkett,https://ballotpedia.org/Ryan_Dean_Burkett,,repthompson,303861808,,,
819,H2MO04140,"BURKS, TAYLOR",MO,4,REPUBLICAN PARTY,House,Open seat,P,Republican,taylor  burks,https://ballotpedia.org/Taylor_Burks,,jcb4nc,3011310377,,,
821,H2OK03123,"BURLESON, WILLIAM WADE",OK,3,REPUBLICAN PARTY,House,Challenger,P,Republican,william  burleson,,,,,,,
822,H0CA48172,"BURLEY, BRIAN J MR.",CA,47,REPUBLICAN PARTY,House,Challenger,C,Republican,brian  burley,https://ballotpedia.org/Brian_Burley,,repbowman,1344389506963808264,,,
824,H2MO07143,"BURLISON, ERIC",MO,7,REPUBLICAN PARTY,House,Incumbent,N,Republican,eric  burlison,https://ballotpedia.org/Eric_Burlison,B001316,gjt2022,1468407846882914305,,,
825,H2MO07143,"BURLISON, ERIC",MO,7,REPUBLICAN PARTY,House,Incumbent,N,Republican,eric  burlison,https://ballotpedia.org/Eric_Burlison,B001316,jamaalbowmanny,1138076821533155328,,,
826,H2CO03278,"BURNETT, DEBORA LYNN",CO,3,DEMOCRATIC PARTY,House,Challenger,C,Democrat,debora  burnett,,,,,,,
827,H2MA04115,"BURNS, EMILY",MA,4,REPUBLICAN PARTY,House,Challenger,P,Republican,emily  burns,,,,,,,
828,H2NY23160,"BURNS, GEORGE H MR",NY,23,REPUBLICAN PARTY,House,Open seat,N,Republican,george  burns,,,jthroneburg,26492265,,,
830,H2SC04147,"BURNS, MARK",SC,4,REPUBLICAN PARTY,House,Challenger,P,Republican,mark  burns,https://ballotpedia.org/Mark_Burns_(South_Carolina),,joshforvirginia,1412861054162325504,,,
832,H2NH00025,"BURNS, ROBERT ANDREW MR.",NH,2,REPUBLICAN PARTY,House,Challenger,P,Republican,robert  burns,https://ballotpedia.org/Bob_Burns_(New_Hampshire),,repbrendanboyle,231108733,,,
