,fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,party_simple,key,ballotpedia,bioguide_id,twitter_name,twitter_id,twitter_status_tweet,twitter_status_name,twitter_status_id
1329,H2KY03180,"DEVORE, ROBERT LEWIS MR. JR.",KY,3,REPUBLICAN PARTY,House,Open seat,N,Republican,robert  devore,,,,,,,
1330,H2CA20144,"DEWELL, BEN",CA,20,DEMOCRATIC PARTY,House,Challenger,N,Democrat,ben  dewell,https://ballotpedia.org/Ben_Dewell,,ca20th,1491903435586916353,,,
1332,H2CA20144,"DEWELL, BEN",CA,20,DEMOCRATIC PARTY,House,Challenger,N,Democrat,ben  dewell,https://ballotpedia.org/Ben_Dewell,,benldewell,799787755945369600,,,
1334,H2IN08177,"DHAHIR, ADNAN",IN,8,DEMOCRATIC PARTY,House,Challenger,N,Democrat,adnan  dhahir,https://ballotpedia.org/Adnan_Dhahir,,adnandhahir,436107874,,,
1335,H2IN08177,"DHAHIR, ADNAN",IN,8,DEMOCRATIC PARTY,House,Challenger,N,Democrat,adnan  dhahir,https://ballotpedia.org/Adnan_Dhahir,,adnan_dhahir,1444721293744607241,,,
1337,H2OR05217,"DI PAOLA, JOHN",OR,5,REPUBLICAN PARTY,House,Challenger,C,Republican,john  paola,https://ballotpedia.org/John_Di_Paola,,DrJohnDiPaola,,No tweets found.,Name not found.,
1339,H2TX37074,"DIACOGIANNIS, JEREMIAH DAVID",TX,37,REPUBLICAN PARTY,House,Open seat,C,Republican,jeremiah  diacogiannis,https://ballotpedia.org/Jeremiah_Diacogiannis,,JD4TX,,No tweets found.,Name not found.,
1340,H2FL13220,"DIAMOND, BEN",FL,13,DEMOCRATIC PARTY,House,Open seat,P,Democrat,ben  diamond,,,,,,,
1341,H2NY44018,"DIAMOND, GAYLE RACHEL",NY,44,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,gayle  diamond,,,,,,,
1342,H2OK49019,"DIAMOND, GILBERT MR",OK,49,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,gilbert  diamond,,,,,,,
1343,H2TX30269,"DIAZ, LIZBETH",TX,30,REPUBLICAN PARTY,House,Open seat,N,Republican,lizbeth  diaz,https://ballotpedia.org/Lizbeth_Diaz,,,,,,
1344,H2FL25018,"DIAZ-BALART, MARIO",FL,26,REPUBLICAN PARTY,House,Incumbent,N,Republican,mario  diazbalart,https://ballotpedia.org/Mario_Diaz-Balart,D000600,MarioDB,37094727,,,
1345,H2FL25018,"DIAZ-BALART, MARIO",FL,26,REPUBLICAN PARTY,House,Incumbent,N,Republican,mario  diazbalart,https://ballotpedia.org/Mario_Diaz-Balart,D000600,MarioDBCamp,374816353,,,
1346,H0VA09121,"DICKERSON, CAMERON D.",VA,9,DEMOCRATIC PARTY,House,Challenger,N,Democrat,cameron  dickerson,,,,,,,
1348,H0PA18097,"DICKINSON, GERALD",PA,12,DEMOCRATIC PARTY,House,Open seat,N,Democrat,gerald  dickinson,https://ballotpedia.org/Jerry_Dickinson,,JerrySDickinson,1115862401579212800,,,
1349,H2VA04136,"DICKINSON, MICHAEL",VA,4,REPUBLICAN PARTY,House,Challenger,N,Republican,michael  dickinson,,,,,,,
1350,H2VA04128,"DICKINSON, MICHAEL ROBERT DR.",VA,4,REPUBLICAN PARTY,House,Challenger,N,Republican,michael  dickinson,,,,,,,
1351,H2RI02069,"DICKINSON, SPENCER E",RI,2,DEMOCRATIC PARTY,House,Challenger,P,Democrat,spencer  dickinson,https://ballotpedia.org/Spencer_Dickinson,,,,,,
1352,H2OH16044,"DIEMER, MATTHEW",OH,7,DEMOCRATIC PARTY,House,Open seat,P,Democrat,matthew  diemer,https://ballotpedia.org/Matthew_Diemer,,MatthewDiemer,913796543295062016,,,
1354,H2CT02179,"DILIZIA, ANTHONY ADELINO MR.",CT,2,DEMOCRATIC PARTY,House,Challenger,N,Democrat,anthony  dilizia,,,,,,,
1355,H8WA08262,"DILLON, PATRICK",WA,8,OTHER,House,Challenger,N,Other,patrick  dillon,https://ballotpedia.org/Patrick_Dillon,,,,,,
1356,H4MI12079,"DINGELL, DEBBIE",MI,6,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,debbie  dingell,https://ballotpedia.org/Debbie_Dingell,D000624,RepDebDingell,2970279814,,,
1357,H4MI12079,"DINGELL, DEBBIE",MI,6,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,debbie  dingell,https://ballotpedia.org/Debbie_Dingell,D000624,debdingell,2361650234,No tweets found.,,
1359,H8AZ04165,"DISANTO, DELINA",AZ,6,DEMOCRATIC PARTY,House,Challenger,P,Democrat,delina  disanto,,,,,,,
1360,H2TX30160,"DIXON, ARTHUR",TX,30,DEMOCRATIC PARTY,House,Open seat,N,Democrat,arthur  dixon,https://ballotpedia.org/Arthur_Dixon,,ArthurDixonTX,1469337830027448322,,,
1362,H2SC06134,"DIXON, GREGG MARCEL",SC,6,DEMOCRATIC PARTY,House,Challenger,C,Democrat,gregg  dixon,https://ballotpedia.org/Gregg_Marcel_Dixon,,marcel4congress,1436828590784630788,No tweets found.,,
1364,H2FL08121,"DODGE, DANELLE",FL,8,DEMOCRATIC PARTY,House,Challenger,P,Democrat,danelle  dodge,https://ballotpedia.org/Danelle_Dodge,,VoteDodge,1488220646450638864,,,
1366,H4TX10028,"DOGGETT, LLOYD",TX,37,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,lloyd  doggett,https://ballotpedia.org/Lloyd_Doggett,D000399,LloydDoggettTX,170111219,,,
1367,H4TX10028,"DOGGETT, LLOYD",TX,37,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,lloyd  doggett,https://ballotpedia.org/Lloyd_Doggett,D000399,RepLloydDoggett,153944899,,,
1369,H0MO05240,"DOMINICK, ROBIN",MO,5,LIBERTARIAN PARTY,House,Challenger,N,Other,robin  dominick,https://ballotpedia.org/Robin_Dominick,,RobinRD4MO,,No tweets found.,Name not found.,
1370,H2FL14186,"DONALDS, BYRON",FL,19,REPUBLICAN PARTY,House,Incumbent,C,Republican,byron  donalds,https://ballotpedia.org/Byron_Donalds,,ByronDonalds,96015533,,,
1371,H2FL14186,"DONALDS, BYRON",FL,19,REPUBLICAN PARTY,House,Incumbent,C,Republican,byron  donalds,https://ballotpedia.org/Byron_Donalds,,RepDonaldsPress,1343968646050283522,,,
1373,H2AL05193,"DONNELL, DEXTER",AL,5,REPUBLICAN PARTY,House,Open seat,N,Republican,dexter  donnell,,,,,,,
1374,H2CO03211,"DONOVAN, KERRY",CO,3,DEMOCRATIC PARTY,House,Challenger,P,Democrat,kerry  donovan,,,,,,,
1376,H4MI09109,"DONOVAN, MICHELLE R.E.",MI,9,REPUBLICAN PARTY,House,Challenger,N,Republican,michelle  donovan,https://ballotpedia.org/Michelle_Donovan,,Michelle4MI,1490903962240827392,,,
1377,H4MI09109,"DONOVAN, MICHELLE R.E.",MI,9,REPUBLICAN PARTY,House,Challenger,N,Republican,michelle  donovan,https://ballotpedia.org/Michelle_Donovan,,CannabisDivaESQ,1088451118588444672,,,
1378,H2IL12155,"DOOFENSHMIRTZ, HEINZ R DR.",IL,12,DEMOCRATIC PARTY,House,Challenger,N,Democrat,heinz  doofenshmirtz,,,,,,,
1379,H2IL12163,"DOOFENSHMIRTZ, HEINZ R DR.",IL,12,DEMOCRATIC PARTY,House,Challenger,N,Democrat,heinz  doofenshmirtz,,,,,,,
1380,H2IL12171,"DOOFENSHMIRTZ, HEINZ R DR.",IL,12,DEMOCRATIC PARTY,House,Challenger,N,Democrat,heinz  doofenshmirtz,,,,,,,
1381,H2IL12189,"DOOFENSHMIRTZ, HEINZ R DR.",IL,12,DEMOCRATIC PARTY,House,Challenger,N,Democrat,heinz  doofenshmirtz,,,,,,,
1382,H2NY10167,"DOOLEY, PATRICK EDWARD MR.",NY,10,DEMOCRATIC PARTY,House,Challenger,N,Democrat,patrick  dooley,,,,,,,
1383,H2FL21090,"DORILAS, ROD MR.",FL,22,REPUBLICAN PARTY,House,Challenger,P,Republican,rod  dorilas,https://ballotpedia.org/Rod_Dorilas,,roddorilas,816092276904656897,,,
1386,H2NJ07226,"DORLON, KEVIN BRENDAN MR.",NJ,7,REPUBLICAN PARTY,House,Challenger,C,Republican,kevin  dorlon,https://ballotpedia.org/Kevin_Dorlon,,kevin7dorlon,1504909449848410123,,,
1388,H0IN09161,"DORRIS, DALE WILLIAM MR. II",IN,9,DEMOCRATIC PARTY,House,Open seat,N,Democrat,dale  dorris,https://ballotpedia.org/D._Liam_Dorris,,DLiamDorris,1130472293921169408,,,
1389,H2TN03201,"DOSS, NATHANIEL MR. III",TN,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,nathaniel  doss,,,,,,,
1390,H2NV02528,"DOUCETTE, MICHAEL LEO MR",NV,2,DEMOCRATIC PARTY,House,Challenger,P,Democrat,michael  doucette,https://ballotpedia.org/Michael_Doucette,,,,,,
1391,H2CO08137,"DOUGLAS, STEVE DOUGLAS",CO,8,DEMOCRATIC PARTY,House,Open seat,P,Democrat,steve  douglas,,,,,,,
1392,H2CO05158,"DOWELL, JEREMY J",CO,5,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jeremy  dowell,,,,,,,
1393,H2IL01281,"DOWELL, PATRICIA R",IL,1,DEMOCRATIC PARTY,House,Open seat,P,Democrat,patricia  dowell,,,,,,,
1395,H2FL20142,"DOWLING, ELVIN",FL,20,DEMOCRATIC PARTY,House,Open seat,P,Democrat,elvin  dowling,https://ballotpedia.org/Elvin_Dowling,,elvindowling,78188615,,,
1396,H2AZ09225,"DOWLING, SANDRA E DR",AZ,9,REPUBLICAN PARTY,House,Challenger,P,Republican,sandra  dowling,https://ballotpedia.org/Sandra_Dowling,,,,,,
1397,H2PA12070,"DOYLE, MICHAEL",PA,12,REPUBLICAN PARTY,House,Open seat,P,Republican,michael  doyle,,,,,,,
1399,H4PA18131,"DOYLE, MICHAEL",PA,18,DEMOCRATIC PARTY,House,Incumbent,P,Democrat,michael  doyle,,D000482,USRepMikeDoyle,39249305,,,
1400,H2ID01200,"DRAKE, DARIAN",ID,1,LIBERTARIAN PARTY,House,Challenger,N,Other,darian  drake,,,,,,,
1401,H2GA13129,"DRISCOLL, SHASTITY",GA,13,DEMOCRATIC PARTY,House,Challenger,N,Democrat,shastity  driscoll,https://ballotpedia.org/Shastity_Driscoll,,,,,,
1402,H2VT00169,"DRUZBA, MATT",VT,0,INDEPENDENT,House,Challenger,N,Other,matt  druzba,,,,,,,
1403,H2CA13131,"DUARTE, JOHN",CA,13,REPUBLICAN PARTY,House,Incumbent,C,Republican,john  duarte,https://ballotpedia.org/John_Duarte,D000633,,,,,
1404,H2TN09216,"DUDLEY, CHARLES BROWN IV",TN,9,REPUBLICAN PARTY,House,Challenger,P,Republican,charles  dudley,,,,,,,
1405,H8CA29100,"DUENAS, ANGELICA MARIA",CA,29,DEMOCRATIC PARTY,House,Challenger,N,Democrat,angelica  duenas,,,,,,,
1406,H2CA31174,"DUFFY, JENNIFER",CA,31,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jennifer  duffy,,,,,,,
1407,H4LA01147,"DUGAS, LEE ANN",LA,1,DEMOCRATIC PARTY,House,Challenger,N,Democrat,lee  dugas,,,,,,,
1408,H2FL07164,"DUKE, BRADY",FL,7,REPUBLICAN PARTY,House,Open seat,P,Republican,brady  duke,https://ballotpedia.org/Brady_Duke,,BradyDukeFL,1388176147989426181,,,
1409,H2FL07164,"DUKE, BRADY",FL,7,REPUBLICAN PARTY,House,Open seat,P,Republican,brady  duke,https://ballotpedia.org/Brady_Duke,,BradyDuke7,1372339796664795142,,,
1411,H0SC03077,"DUNCAN, JEFFREY D MR.",SC,3,REPUBLICAN PARTY,House,Incumbent,C,Republican,jeffrey  duncan,https://ballotpedia.org/Jeff_Duncan_(South_Carolina),D000615,RepJeffDuncan,240393970,,,
1412,H0SC03077,"DUNCAN, JEFFREY D MR.",SC,3,REPUBLICAN PARTY,House,Incumbent,C,Republican,jeffrey  duncan,https://ballotpedia.org/Jeff_Duncan_(South_Carolina),D000615,Duncan4Congress,21048033,,,
1414,H4TX18112,"DUNCAN, VINCE",TX,18,INDEPENDENT,House,Challenger,N,Other,vince  duncan,https://ballotpedia.org/Vince_Duncan,,duncanvince23,1341020672,,,
1416,H6FL02208,"DUNN, NEAL PATRICK MD, FACS",FL,2,REPUBLICAN PARTY,House,Incumbent,C,Republican,neal  md,https://ballotpedia.org/Neal_Dunn,D000628,DrNealDunnFL2,815952318487298048,,,
1417,H6FL02208,"DUNN, NEAL PATRICK MD, FACS",FL,2,REPUBLICAN PARTY,House,Incumbent,C,Republican,neal  md,https://ballotpedia.org/Neal_Dunn,D000628,DunnCampaign,3433189197,,,
1418,H2WA08208,"DUNN, REAGAN B",WA,8,REPUBLICAN PARTY,House,Challenger,C,Republican,reagan  dunn,,,,,,,
1420,H2SC07215,"DUNN, TOM",SC,7,REPUBLICAN PARTY,House,Challenger,C,Republican,tom  dunn,https://ballotpedia.org/Tom_Rice_(South_Carolina),,tomricesc7,,No tweets found.,Name not found.,
1421,H2TX01161,"DUNN, VICTOR D",TX,1,DEMOCRATIC PARTY,House,Open seat,N,Democrat,victor  dunn,https://ballotpedia.org/Victor_Dunn,,,,,,
1423,H2MS04332,"DUPREE, JOHNNY L.",MS,4,DEMOCRATIC PARTY,House,Challenger,P,Democrat,johnny  dupree,https://ballotpedia.org/Johnny_DuPree,,johnnyldupree,213761025,,,
1424,H2SD00142,"DUPREL, COLLIN",SD,0,LIBERTARIAN PARTY,House,Challenger,N,Other,collin  duprel,https://ballotpedia.org/Collin_Duprel,,,,,,
1425,H2MO03191,"DURRWACHTER, DYLAN",MO,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,dylan  durrwachter,,,,,,,
1426,H2AK01182,"DUTCHESS, LADY DONNA",AK,0,WRITE-IN,House,Open seat,N,Other,lady  dutchess,https://ballotpedia.org/Lady_Donna_Dutchess,,,,,,
1427,H2WV02175,"DWYER, ANGELA JOYCE",WV,2,DEMOCRATIC PARTY,House,Challenger,N,Democrat,angela  dwyer,,,,,,,
1428,H2NC03160,"EARHART, ERIC JASON PASTOR",NC,3,REPUBLICAN PARTY,House,Challenger,N,Republican,eric  earhart,https://ballotpedia.org/Eric_Earhart,,EricJEarhart,270664224,,,
1430,H2GA06123,"EARLS, HAROLD",GA,6,REPUBLICAN PARTY,House,Challenger,C,Republican,harold  earls,,,,,,,
1431,H2UT02506,"EASLEY, CASSIE",UT,2,OTHER,House,Challenger,N,Other,cassie  easley,https://ballotpedia.org/Cassie_Easley,,,,,,
1432,H2OR05191,"EASTON, KEVIN",OR,6,DEMOCRATIC PARTY,House,Open seat,C,Democrat,kevin  easton,,,,,,,
1433,H2TN49014,"EASTWOOD, LORIMER MR",TN,49,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,lorimer  eastwood,,,,,,,
1434,H2NJ08273,"EBERHARD, ANDREA ROSEBOROUGH",NJ,8,DEMOCRATIC PARTY,House,Open seat,N,Democrat,andrea  eberhard,,,,,,,
1436,H2SC05094,"ECKERT, KEVIN",SC,5,DEMOCRATIC PARTY,House,Challenger,P,Democrat,kevin  eckert,https://ballotpedia.org/Kevin_Eckert,,KevinCongressSC,,No tweets found.,Name not found.,
1437,H2OH15160,"EDMONDS, RUTH",OH,15,REPUBLICAN PARTY,House,Challenger,P,Republican,ruth  edmonds,,,,,,,
1438,H2FL24060,"EDMONSON, AUDREY",FL,24,DEMOCRATIC PARTY,House,Challenger,P,Democrat,audrey  edmonson,,,,,,,
1439,H2NC14050,"EDWARDS, CHUCK",NC,11,REPUBLICAN PARTY,House,Incumbent,C,Republican,chuck  edwards,https://ballotpedia.org/Chuck_Edwards,E000246,RepEdwards,1602748099792879616,,,
1440,H2NC14050,"EDWARDS, CHUCK",NC,11,REPUBLICAN PARTY,House,Incumbent,C,Republican,chuck  edwards,https://ballotpedia.org/Chuck_Edwards,E000246,ChuckEdwards4NC,838404430793953280,,,
1441,H2MD04356,"EDWARDS, DONNA F",MD,4,DEMOCRATIC PARTY,House,Open seat,C,Democrat,donna  edwards,https://ballotpedia.org/Donna_Edwards,,DonnaFEdwards,778798705,,,
1443,H2FL07297,"EDWARDS, TED",FL,7,REPUBLICAN PARTY,House,Open seat,C,Republican,ted  edwards,https://ballotpedia.org/Ted_Edwards,,,,,,
1444,H0NY26068,"EGRIU, EMIN",NY,26,DEMOCRATIC PARTY,House,Challenger,P,Democrat,emin  egriu,https://ballotpedia.org/Emin_Eddie_Egriu,,,,,,
1445,H2PA01099,"EHASZ, ASHLEY",PA,1,DEMOCRATIC PARTY,House,Challenger,N,Democrat,ashley  ehasz,https://ballotpedia.org/Ashley_Ehasz,,ashley_ehasz,1445858534143500288,,,
1447,H8FL01107,"EHR, PHILLIP CHARLES",FL,1,DEMOCRATIC PARTY,House,Challenger,C,Democrat,phillip  ehr,,,,,,,
1448,H2AL05201,"EHRLE, DOUGLAS EUGENE",AL,5,REPUBLICAN PARTY,House,Open seat,N,Republican,douglas  ehrle,,,,,,,
1449,H2TX29121,"EJIGU, LULITE",TX,29,REPUBLICAN PARTY,House,Challenger,N,Republican,lulite  ejigu,https://ballotpedia.org/Lulite_Ejigu,,,,,,
1450,H2MD07102,"EL, ELIHU ELI",MD,7,DEMOCRATIC PARTY,House,Challenger,N,Democrat,elihu  el,,,,,,,
1451,H2FL14236,"ELDON, ANTHONY W",FL,14,DEMOCRATIC PARTY,House,Challenger,N,Democrat,anthony  eldon,,,,,,,
1452,H0CT04203,"ELGIN, TJ",CT,4,INDEPENDENT,House,Challenger,N,Other,tj  elgin,,,,,,,
1453,H2MA45019,"ELISHA, CALEB MR",MA,45,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,caleb  elisha,,,,,,,
1454,H2CA49259,"ELIZABETH, ANNE",CA,49,REPUBLICAN PARTY,House,Challenger,C,Republican,anne  elizabeth,,,,,,,
1455,H0PA12207,"ELIZABETH, TERWILLIGER",PA,12,LIBERTARIAN PARTY,House,Open seat,P,Other,terwilliger  elizabeth,,,,,,,
1457,H2CA02266,"ELIZONDO, DARIAN J",CA,2,REPUBLICAN PARTY,House,Challenger,N,Republican,darian  elizondo,https://ballotpedia.org/Darian_Elizondo,,DARIAN5,32525859,,,
1458,H2MS02203,"ELLER, RON",MS,2,REPUBLICAN PARTY,House,Challenger,P,Republican,ron  eller,https://ballotpedia.org/Ronald_Eller,,VoteRon,1405990549534953474,,,
1460,H2MI13311,"ELLIOTT, STEVEN",MI,12,REPUBLICAN PARTY,House,Challenger,P,Republican,steven  elliott,https://ballotpedia.org/Steven_Elliott_(Michigan),,StevenElliottMI,1495670657534865409,,,
1462,H2MA09247,"ELLIS, GRANT SMITH",MA,9,DEMOCRATIC PARTY,House,Challenger,N,Democrat,grant  ellis,,,,,,,
1463,H2TX08158,"ELLIS, JAMESON",TX,2,REPUBLICAN PARTY,House,Challenger,N,Republican,jameson  ellis,https://ballotpedia.org/Jameson_Ellis,,thejamesonellis,241682441,,,
1465,H2VA10190,"ELLIS, THERESA COATES MS",VA,10,REPUBLICAN PARTY,House,Challenger,C,Republican,theresa  ellis,https://ballotpedia.org/Theresa_Coates_Ellis,,TCoatesEllis,1067287428,,,
1467,H2FL23278,"ELLISON, ALLEN",FL,23,DEMOCRATIC PARTY,House,Challenger,P,Democrat,allen  ellison,https://ballotpedia.org/Allen_Ellison,,AllenLEllison,25919401,,,
1470,H0NC02059,"ELLMERS, RENEE JACISIN",NC,13,REPUBLICAN PARTY,House,Open seat,P,Republican,renee  ellmers,https://ballotpedia.org/Renee_Ellmers,E000291,RepReneeEllmers,213634439,,,
1472,H8TX06266,"ELLZEY, JOHN KEVIN SR.",TX,6,REPUBLICAN PARTY,House,Incumbent,C,Republican,john  ellzey,https://ballotpedia.org/Jake_Ellzey,E000071,RepEllzey,1366523868253458437,,,
1473,H8TX06266,"ELLZEY, JOHN KEVIN SR.",TX,6,REPUBLICAN PARTY,House,Incumbent,C,Republican,john  ellzey,https://ballotpedia.org/Jake_Ellzey,E000071,JakeEllzey,2178511998,,,
1474,H0NE03217,"ELSE, DAVID J",NE,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,david  else,https://ballotpedia.org/David_Else_(Nebraska),,,,,,
1475,H2OH12134,"ELTON, AMY RIPPEL",OH,12,DEMOCRATIC PARTY,House,Challenger,N,Democrat,amy  elton,,,,,,,
1476,H0NE03225,"ELWORTH, MARK",NE,3,OTHER,House,Challenger,N,Other,mark  elworth,https://ballotpedia.org/Mark_Elworth,,,,,,
1477,H2MO04132,"EMERY, EDGAR GLENN HARVEY",MO,4,REPUBLICAN PARTY,House,Open seat,C,Republican,edgar  emery,,,,,,,
1479,H4MN06087,"EMMER, THOMAS EARL JR.",MN,6,REPUBLICAN PARTY,House,Incumbent,C,Republican,thomas  emmer,https://ballotpedia.org/Tom_Emmer,E000294,RepTomEmmer,,No tweets found.,Name not found.,
1480,H4MN06087,"EMMER, THOMAS EARL JR.",MN,6,REPUBLICAN PARTY,House,Incumbent,C,Republican,thomas  emmer,https://ballotpedia.org/Tom_Emmer,E000294,GOPMajorityWhip,2914515430,,,
1481,H4MN06087,"EMMER, THOMAS EARL JR.",MN,6,REPUBLICAN PARTY,House,Incumbent,C,Republican,thomas  emmer,https://ballotpedia.org/Tom_Emmer,E000294,tomemmer,72431423,,,
1482,H2CA04155,"ENGDAHL, ANDREW DAVID",CA,4,DEMOCRATIC PARTY,House,Challenger,N,Democrat,andrew  engdahl,https://ballotpedia.org/Andrew_Engdahl,,AndrewEngdahl,1248269169172213761,,,
1484,H2AZ02311,"ENGEL, KIRSTEN",AZ,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,kirsten  engel,https://ballotpedia.org/Kirsten_Engel,,,,,,
1485,H2IL19069,"ENGLAND, BRIGHTON MR",IL,19,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,brighton  england,,,,,,,
1487,H2VA02056,"ENGQUIST, THEODORE",VA,3,REPUBLICAN PARTY,House,Challenger,C,Republican,theodore  engquist,https://ballotpedia.org/Ted_Engquist,,TedEngquist,32370875,,,
1488,H2VA07188,"ENNIS, CRAIG EDWARD MR",VA,7,REPUBLICAN PARTY,House,Challenger,N,Republican,craig  ennis,,,,,,,
1489,H8OH08097,"ENOCH, VANESSA",OH,8,DEMOCRATIC PARTY,House,Challenger,N,Democrat,vanessa  enoch,https://ballotpedia.org/Vanessa_Enoch,,,,,,
1490,H2PA01149,"ENTIN, ALEX",PA,1,REPUBLICAN PARTY,House,Challenger,C,Republican,alex  entin,https://ballotpedia.org/Alex_Entin,,,,,,
1491,H2CA20136,"EPPERSON, DALILA",CA,19,REPUBLICAN PARTY,House,Challenger,N,Republican,dalila  epperson,https://ballotpedia.org/Dalila_Epperson,,,,,,
1492,H2CA35167,"ERBST, BOB",CA,35,REPUBLICAN PARTY,House,Challenger,N,Republican,bob  erbst,https://ballotpedia.org/Bob_Erbst,,,,,,
1493,H2UT01250,"ERICKSEN, ALENA",UT,1,REPUBLICAN PARTY,House,Challenger,C,Republican,alena  ericksen,,,,,,,
1494,H2MN03096,"ERICKSON, LILY JOY",MN,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,lily  erickson,,,,,,,
1495,H2OR06124,"ERICKSON, MIKE",OR,6,REPUBLICAN PARTY,House,Open seat,P,Republican,mike  erickson,https://ballotpedia.org/Mike_Erickson_(Oregon),,,,,,
1496,H0TX10240,"ERIKSEN, ROY",TX,8,LIBERTARIAN PARTY,House,Open seat,N,Other,roy  eriksen,https://ballotpedia.org/Roy_Eriksen,,royeriksen10,1303082526085349383,,,
1498,H2CA47212,"ERNST, ROLAND",CA,47,DEMOCRATIC PARTY,House,Challenger,N,Democrat,roland  ernst,,,,,,,
1499,H8TX16109,"ESCOBAR, VERONICA",TX,16,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,veronica  escobar,https://ballotpedia.org/Veronica_Escobar,E000299,RepEscobar,1075517806551154689,,,
1501,H8TX16109,"ESCOBAR, VERONICA",TX,16,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,veronica  escobar,https://ballotpedia.org/Veronica_Escobar,E000299,vgescobar,38960144,,,
1502,H8CA12098,"ESHOO, ANNA G",CA,16,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,anna  eshoo,https://ballotpedia.org/Anna_Eshoo,E000215,RepAnnaEshoo,249348006,,,
1503,H8CA12098,"ESHOO, ANNA G",CA,16,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,anna  eshoo,https://ballotpedia.org/Anna_Eshoo,E000215,Eshoo4Congress,482713734,,,
1505,H2NY13096,"ESPAILLAT, ADRIANO",NY,13,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,adriano  espaillat,https://ballotpedia.org/Adriano_Espaillat,E000297,CongEspaillat,1704971276,,,
1506,H2NY13096,"ESPAILLAT, ADRIANO",NY,13,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,adriano  espaillat,https://ballotpedia.org/Adriano_Espaillat,E000297,RepEspaillat,817076257770835968,,,
1507,H2NY13096,"ESPAILLAT, ADRIANO",NY,13,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,adriano  espaillat,https://ballotpedia.org/Adriano_Espaillat,E000297,EspaillatNY,182217410,,,
1509,H8OH03098,"ESRATI, DAVID",OH,10,DEMOCRATIC PARTY,House,Challenger,P,Democrat,david  esrati,https://ballotpedia.org/David_Esrati,,Esrati,49069806,No tweets found.,,
1510,H2MI11240,"ESSHAKI, ERIC",MI,10,REPUBLICAN PARTY,House,Challenger,P,Republican,eric  esshaki,,,,,,,
1511,H8KS04112,"ESTES, RON",KS,4,REPUBLICAN PARTY,House,Incumbent,C,Republican,ron  estes,https://ballotpedia.org/Ron_Estes_(U.S._House_representative),E000298,RonEstesKS,722555010588872705,,,
1513,H8KS04112,"ESTES, RON",KS,4,REPUBLICAN PARTY,House,Incumbent,C,Republican,ron  estes,https://ballotpedia.org/Ron_Estes_(U.S._House_representative),E000298,RepRonEstes,854715071116849157,,,
1514,H2CA22223,"ESTRADA, JOHN ANTHONY",CA,22,REPUBLICAN PARTY,House,Challenger,N,Republican,john  estrada,,,,,,,
1515,H2CA05103,"ESTRADA, JOHN ANTHONY",CA,5,REPUBLICAN PARTY,House,Challenger,N,Republican,john  estrada,,,,,,,
1516,H2KY06191,"ETTER, SCOTT",KY,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,scott  etter,,,,,,,
1517,H2MN01249,"ETTINGER, JEFFREY M.",MN,1,DEMOCRATIC-FARMER-LABOR,House,Open seat,P,Other,jeffrey  ettinger,,,,,,,
1518,H2TX08232,"ETWOP, MARTIN",TX,2,REPUBLICAN PARTY,House,Open seat,P,Republican,martin  etwop,https://ballotpedia.org/Martin_Etwop,,,,,,
1519,H2NJ06202,"EUVIN, SHERRY LEANNE",NJ,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,sherry  euvin,,,,,,,
1520,H2NC08227,"EVANS, CHARLES",NC,7,DEMOCRATIC PARTY,House,Challenger,C,Democrat,charles  evans,https://ballotpedia.org/Charles_E._Evans_(North_Carolina_congressional_candidate),,,,,,
1521,H2NC08227,"EVANS, CHARLES",NC,7,DEMOCRATIC PARTY,House,Challenger,C,Democrat,charles  evans,https://ballotpedia.org/Charles_Graham_(North_Carolina),,,,,,
1522,H6PA02171,"EVANS, DWIGHT",PA,3,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,dwight  evans,https://ballotpedia.org/Dwight_Evans,E000296,DwightEvansPA,4069841354,,,
